FileName,Char-Unigram,Word-Unigram,Char-Bigram,Word-Bigram,Char-Trigram,Word-Trigram
白马啸西风,9.232165973724065,9.54521387527253,4.085092485058066,3.0303969756452713,1.2095027278567736,1.09496037196836
碧血剑,9.755965808948712,12.720256521039476,5.674985011543746,3.9436742109032084,1.7951478739007365,0.5176091131010311
飞狐外传,9.630063597518605,12.457212354261763,5.56907716924763,4.010437645414956,1.8649720362946534,0.5512074127909496
连城诀,9.51522521503827,11.641213954513589,5.090139273216617,3.5332643966426187,1.6389494518915042,0.6390373150958272
鹿鼎记,9.659006321148379,12.102079732687063,6.0197797891659,4.856069813611959,2.4093791096099,1.0692563849512529
三十三剑客图,10.011059112657815,12.482304129023827,4.281669156890327,1.8317072729767656,0.6498437593496372,0.11935770284160838
射雕英雄传,9.75214299104781,12.355665139522426,5.965059817783562,4.530091118446416,2.1958925023449427,0.8730783752031509
神雕侠侣,9.663303822792953,12.286690729004672,6.002331579314947,4.880712342664825,2.2825538395032114,0.8395866853156243
书剑恩仇录,9.758488468701126,12.628314653617016,5.597777177616239,4.113069964651215,1.8612894868516765,0.5529208547493453
天龙八部,9.782788191323004,12.560704192419761,6.11471189943036,4.723281840044949,2.3514523308211523,0.8840424980333943
侠客行,9.436598028151364,11.752043558864168,5.379339446411168,3.8823545593632547,1.819103092132845,0.7592706453626877
笑傲江湖,9.516218770836643,12.309870310994583,5.856436218638258,4.760809211419506,2.3611940099884903,0.8970659644544466
雪山飞狐,9.504523242622467,11.640542928759267,4.7998008914810235,3.0538521641825054,1.3020994868686084,0.4957805642173705
倚天屠龙记,9.706869730622433,12.561876590429376,5.9829051094493355,4.615630104316141,2.2759386964620623,0.8043113394417326
鸳鸯刀,9.220968952855774,9.77589468160301,3.6510940568253414,2.429917685118581,0.893597867238139,0.8429100368234116
越女剑,8.80513752780941,9.142983286975124,3.095291916741357,2.05552617328146,0.8369509109429615,0.8234734937307844
total,9.952138076046973,13.126624239865675,7.021648271708241,6.373260272468171,3.493406322180977,1.3910158634141219
